nutrient_id	name	normalized_norm	normalized_norm_no_commas	normalized_norm_no_paren	normalized_norm_compact	is_added_by_expansion	parent_generic_id	parent_generic_compact	rule
240294	Kaempferol 7-O-glucoside	kaempferol 7-o-glucoside	kaempferol 7-o-glucoside	kaempferol 7-o-glucoside	kaempferol 7 o glucoside	0			
240295	Lambertianin C	lambertianin c	lambertianin c	lambertianin c	lambertianin c	0			
240296	Lariciresinol	lariciresinol	lariciresinol	lariciresinol	lariciresinol	0			
240297	Lariciresinol-sesquilignan	lariciresinol-sesquilignan	lariciresinol-sesquilignan	lariciresinol-sesquilignan	lariciresinol sesquilignan	0			
240298	Ligstroside	ligstroside	ligstroside	ligstroside	ligstroside	0			
240299	Ligstroside-aglycone	ligstroside-aglycone	ligstroside-aglycone	ligstroside-aglycone	ligstroside aglycone	0			
240300	Luteolin	luteolin	luteolin	luteolin	luteolin	0			
240301	Luteolin 6-C-glucoside	luteolin 6-c-glucoside	luteolin 6-c-glucoside	luteolin 6-c-glucoside	luteolin 6 c glucoside	0			
240302	Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside	luteolin 7-o-(2-apiosyl-6-malonyl)-glucoside	luteolin 7-o-(2-apiosyl-6-malonyl)-glucoside	luteolin 7-o--glucoside	luteolin 7 o 2 apiosyl 6 malonyl glucoside	0			
240303	Luteolin 7-O-(2-apiosyl-glucoside)	luteolin 7-o-(2-apiosyl-glucoside)	luteolin 7-o-(2-apiosyl-glucoside)	luteolin 7-o-	luteolin 7 o 2 apiosyl glucoside	0			
240304	Luteolin 7-O-diglucuronide	luteolin 7-o-diglucuronide	luteolin 7-o-diglucuronide	luteolin 7-o-diglucuronide	luteolin 7 o diglucuronide	0			
240305	Luteolin 7-O-glucoside	luteolin 7-o-glucoside	luteolin 7-o-glucoside	luteolin 7-o-glucoside	luteolin 7 o glucoside	0			
240306	Luteolin 7-O-glucuronide	luteolin 7-o-glucuronide	luteolin 7-o-glucuronide	luteolin 7-o-glucuronide	luteolin 7 o glucuronide	0			
240307	Luteolin 7-O-malonyl-glucoside	luteolin 7-o-malonyl-glucoside	luteolin 7-o-malonyl-glucoside	luteolin 7-o-malonyl-glucoside	luteolin 7 o malonyl glucoside	0			
240308	Luteolin 7-O-rutinoside	luteolin 7-o-rutinoside	luteolin 7-o-rutinoside	luteolin 7-o-rutinoside	luteolin 7 o rutinoside	0			
240309	Malvidin 3,5-O-diglucoside	malvidin 3, 5-o-diglucoside	malvidin 3 5-o-diglucoside	malvidin 3, 5-o-diglucoside	malvidin 3 5 o diglucoside	0			
240310	Malvidin 3-O-(6''-acetyl-galactoside)	malvidin 3-o-(6''-acetyl-galactoside)	malvidin 3-o-(6''-acetyl-galactoside)	malvidin 3-o-	malvidin 3 o 6 acetyl galactoside	0			
240311	Malvidin 3-O-(6''-acetyl-glucoside)	malvidin 3-o-(6''-acetyl-glucoside)	malvidin 3-o-(6''-acetyl-glucoside)	malvidin 3-o-	malvidin 3 o 6 acetyl glucoside	0			
240312	Malvidin 3-O-(6''-caffeoyl-glucoside)	malvidin 3-o-(6''-caffeoyl-glucoside)	malvidin 3-o-(6''-caffeoyl-glucoside)	malvidin 3-o-	malvidin 3 o 6 caffeoyl glucoside	0			
